TE,species
MER4B,Homo_sapiens
MER4BI,Homo_sapiens
MER4C,Homo_sapiens
MER4CL34,Homo_sapiens
MER4D,Homo_sapiens
MER4D1,Homo_sapiens
MER4E,Homo_sapiens
MER4E1,Homo_sapiens
MER4I,Homo_sapiens
MER50,Homo_sapiens
MER50B,Homo_sapiens
MER50I,Homo_sapiens
MER51A,Homo_sapiens
MER51B,Homo_sapiens
MER51C,Homo_sapiens
MER51D,Homo_sapiens
MER51E,Homo_sapiens
MER51I,Homo_sapiens
MER52A,Homo_sapiens
MER52AI,Homo_sapiens
MER52B,Homo_sapiens
MER52C,Homo_sapiens
MER52D,Homo_sapiens
MER53,Homo_sapiens
MER54,Homo_sapiens
MER54A,Homo_sapiens
MER54B,Homo_sapiens
MER57A1,Homo_sapiens
MER57A_I,Homo_sapiens
MER57B2,Homo_sapiens
MER57F,Homo_sapiens
MER57I,Homo_sapiens
MER5B,Homo_sapiens
MER61A,Homo_sapiens
MER61B,Homo_sapiens
MER61C,Homo_sapiens
MER61D,Homo_sapiens
MER61E,Homo_sapiens
MER61F,Homo_sapiens
MER61I,Homo_sapiens
MER63A,Homo_sapiens
MER63B,Homo_sapiens
MER63D,Homo_sapiens
MER65B,Homo_sapiens
MER65C,Homo_sapiens
MER65D,Homo_sapiens
MER66A,Homo_sapiens
MER66B,Homo_sapiens
MER66C,Homo_sapiens
MER66D,Homo_sapiens
MER66_I,Homo_sapiens
MER67A,Homo_sapiens
MER67B,Homo_sapiens
MER67C,Homo_sapiens
MER67D,Homo_sapiens
MER68B,Homo_sapiens
MER68C,Homo_sapiens
MER69C,Homo_sapiens
MER6B,Homo_sapiens
MER70A,Homo_sapiens
MER70B,Homo_sapiens
MER70C,Homo_sapiens
MER72,Homo_sapiens
MER72B,Homo_sapiens
MER73,Homo_sapiens
MER74B,Homo_sapiens
MER74C,Homo_sapiens
MER75,Homo_sapiens
MER75B,Homo_sapiens
MER76,Homo_sapiens
MER77,Homo_sapiens
MER8,Homo_sapiens
MER80B,Homo_sapiens
MER81,Homo_sapiens
MER83,Homo_sapiens
MER83AI,Homo_sapiens
MER83B,Homo_sapiens
MER83BI,Homo_sapiens
MER83C,Homo_sapiens
MER84,Homo_sapiens
MER84I,Homo_sapiens
MER85,Homo_sapiens
MER87,Homo_sapiens
MER87B,Homo_sapiens
MER88,Homo_sapiens
MER89,Homo_sapiens
MER89I,Homo_sapiens
MER9,Homo_sapiens
MER90,Homo_sapiens
MER91A,Homo_sapiens
MER91C,Homo_sapiens
MER92A,Homo_sapiens
MER92B,Homo_sapiens
MER94,Homo_sapiens
MER94B,Homo_sapiens
MER95,Homo_sapiens
MER96,Homo_sapiens
MER96B,Homo_sapiens
MER97A,Homo_sapiens
MER97B,Homo_sapiens
MER97C,Homo_sapiens
MER99,Homo_sapiens
MER9B,Homo_sapiens
Merlin1_HS,Homo_sapiens
MLT1G,Homo_sapiens
MLT1G1,Homo_sapiens
MLT1G2,Homo_sapiens
MLT1G3,Homo_sapiens
MLT1H,Homo_sapiens
MLT1H1,Homo_sapiens
MLT1H2,Homo_sapiens
MLT1I,Homo_sapiens
MLT1K,Homo_sapiens
MLT1L,Homo_sapiens
MLT1N2,Homo_sapiens
MLT2A1,Homo_sapiens
MLT2A2,Homo_sapiens
MLT2C2,Homo_sapiens
MLT2D,Homo_sapiens
MSTB,Homo_sapiens
MSTD,Homo_sapiens
PABL_A,Homo_sapiens
PABL_AI,Homo_sapiens
PABL_B,Homo_sapiens
PABL_BI,Homo_sapiens
PRIMA41,Homo_sapiens
PRIMA4_I,Homo_sapiens
PRIMA4_LTR,Homo_sapiens
PRIMAX_I,Homo_sapiens
PrimLTR79,Homo_sapiens
PTR5,Homo_sapiens
Retroposon-1_HS,Homo_sapiens
SVA_A,Homo_sapiens
SVA_B,Homo_sapiens
SVA_C,Homo_sapiens
SVA_D,Homo_sapiens
SVA_E,Homo_sapiens
SVA_F,Homo_sapiens
THE1A,Homo_sapiens
THE1C,Homo_sapiens
THE1D,Homo_sapiens
THE1_I,Homo_sapiens
TIGGER1,Homo_sapiens
TIGGER2,Homo_sapiens
TIGGER5,Homo_sapiens
TIGGER6B,Homo_sapiens
TIGGER7,Homo_sapiens
TIGGER8,Homo_sapiens
TIGGER9,Homo_sapiens
ZAPHOD,Homo_sapiens
ZOMBI_A,Homo_sapiens
