LTR27E,Homo_sapiens
LTR28,Homo_sapiens
LTR28B,Homo_sapiens
LTR28C,Homo_sapiens
LTR29,Homo_sapiens
LTR2B,Homo_sapiens
LTR2C,Homo_sapiens
LTR3,Homo_sapiens
LTR30,Homo_sapiens
LTR31,Homo_sapiens
LTR32,Homo_sapiens
LTR33,Eutheria
LTR33A,Eutheria
LTR33B,Mammalia
LTR33C,Eutheria
LTR34,Homo_sapiens
LTR35,Homo_sapiens
LTR35A,Primates
LTR35B,Homo_sapiens
LTR36,Homo_sapiens
LTR37-int,Eutheria
LTR37A,Homo_sapiens
LTR37B,Homo_sapiens
LTR38,Homo_sapiens
LTR38A1,Homo_sapiens
LTR38B,Homo_sapiens
LTR38C,Homo_sapiens
LTR39,Homo_sapiens
LTR3A,Primates
LTR3B,Homo_sapiens
LTR4,Homo_sapiens
LTR40A,Homo_sapiens
LTR40A1,Eutheria
LTR40B,Homo_sapiens
LTR40C,Homo_sapiens
LTR41,Homo_sapiens
LTR41B,Homo_sapiens
LTR41C,Homo_sapiens
LTR42,Homo_sapiens
LTR43,Homo_sapiens
LTR43B,Homo_sapiens
LTR43_I,Primates
LTR44,Homo_sapiens
LTR45,Homo_sapiens
LTR45B,Homo_sapiens
LTR45C,Homo_sapiens
LTR46,Homo_sapiens
LTR47A,Homo_sapiens
LTR47A2,Homo_sapiens
LTR47B,Homo_sapiens
LTR47B2,Homo_sapiens
LTR47B3,Primates
LTR47B4,Primates
LTR48,Homo_sapiens
LTR48B,Homo_sapiens
LTR49,Homo_sapiens
LTR5,Homo_sapiens
LTR50,Homo_sapiens
LTR51,Homo_sapiens
LTR52,Homo_sapiens
LTR53,Homo_sapiens
LTR53-int,Eutheria
LTR53B,Homo_sapiens
LTR54,Eutheria
LTR54B,Eutheria
LTR55,Homo_sapiens
LTR56,Homo_sapiens
LTR57,Homo_sapiens
LTR58,Homo_sapiens
LTR59,Homo_sapiens
LTR5A,Primates
LTR5B,Homo_sapiens
LTR5_Hs,Primates
LTR60,Homo_sapiens
LTR60B,Homo_sapiens
LTR61,Homo_sapiens
LTR62,Homo_sapiens
LTR64,Homo_sapiens
LTR65,Homo_sapiens
LTR66,Homo_sapiens
LTR67B,Eutheria
LTR68,Eutheria
LTR69,Homo_sapiens
LTR6A,Homo_sapiens
LTR6B,Homo_sapiens
LTR6C,Homo_sapiens
LTR6D,Homo_sapiens
LTR70,Homo_sapiens
LTR71A,Homo_sapiens
LTR71B,Homo_sapiens
LTR72,Homo_sapiens
LTR72B,Homo_sapiens
LTR73,Homo_sapiens
LTR75,Homo_sapiens
LTR75B,Homo_sapiens
LTR75_1,Eutheria
LTR76,Homo_sapiens
LTR77,Homo_sapiens
LTR77B,Homo_sapiens
LTR78,Mammalia
LTR78B,Homo_sapiens
LTR79,Mammalia
LTR7A,Homo_sapiens
LTR7B,Homo_sapiens
LTR7C,Homo_sapiens
LTR7Y,Primates
LTR8,Homo_sapiens
LTR80A,Eutheria
LTR80B,Eutheria
LTR81A,Mammalia
LTR81AB,Homo_sapiens
LTR81B,Mammalia
LTR81C,Mammalia
LTR82A,Eutheria
LTR82B,Mammalia
LTR83,Eutheria
LTR84a,Eutheria
LTR84b,Eutheria
LTR85a,Mammalia
LTR85b,Mammalia
LTR85c,Mammalia
LTR86A1,Mammalia
LTR86A2,Mammalia
LTR86B1,Mammalia
LTR86B2,Mammalia
LTR86C,Mammalia
LTR87,Eutheria
LTR88a,Mammalia
LTR88b,Mammalia
LTR88c,Mammalia
LTR89,Mammalia
LTR8A,Homo_sapiens
LTR8B,Homo_sapiens
LTR9,Homo_sapiens
LTR90A,Mammalia
LTR90B,Mammalia
LTR91,Homo_sapiens
LTR9A1,Homo_sapiens
LTR9B,Homo_sapiens
LTR9C,Homo_sapiens
LTR9D,Homo_sapiens
MADE1,Homo_sapiens
MamGyp-int,Mammalia
MamGypLTR1a,Mammalia
MamGypLTR1b,Mammalia
MamGypLTR1c,Mammalia
MamGypLTR1d,Mammalia
MamGypLTR2,Mammalia
MamGypLTR2b,Mammalia
MamGypLTR2c,Mammalia
MamGypLTR3,Mammalia
MamRep137,Mammalia
MamRep1527,Eutheria
MamRep1879,Eutheria
MamRep1894,Mammalia
MamRep38,Mammalia
MamRep4096,Mammalia
MamRep434,Mammalia
MamRep488,Mammalia
MamRep564,Mammalia
MamRep605,Mammalia
MamSINE1,Mammalia
MamTip2,Theria
MARE1,Mammalia
MARE10,Mammalia
MARE3,Mammalia
MARE5,Mammalia
MARE6,Mammalia
MARNA,Homo_sapiens
MER101,Homo_sapiens
MER101B,Homo_sapiens
MER101_I,Primates
MER103,Eutheria
MER103B,Homo_sapiens
MER103C,Homo_sapiens
MER104,Eutheria
MER104A,Eutheria
MER104B,Eutheria
MER104C,Eutheria
MER105,Eutheria
MER106,Homo_sapiens
MER106B,Homo_sapiens
MER107,Homo_sapiens
MER110,Homo_sapiens
MER110A,Homo_sapiens
MER110I,Homo_sapiens
MER112,Homo_sapiens
MER113,Homo_sapiens
MER113B,Homo_sapiens
MER115,Eutheria
MER116,Eutheria
MER117,Homo_sapiens
MER119,Homo_sapiens
MER11A,Homo_sapiens
MER11B,Primates
MER11C,Homo_sapiens
MER11D,Homo_sapiens
MER121,Mammalia
MER123,Amniota
MER124,Theria
MER125,Amniota
MER126,Amniota
MER127,Amniota
MER129,Amniota
MER130,Amniota
MER131,Amniota
MER132,Amniota
MER133A,Amniota
MER133B,Amniota
MER134,Amniota
MER135,Mammalia
MER136,Amniota
MER1A,Homo_sapiens
MER1B,Homo_sapiens
MER2,Eutheria
MER20,Homo_sapiens
MER20B,Homo_sapiens
MER21,Homo_sapiens
MER21A,Homo_sapiens
MER21B,Eutheria
MER21C,Eutheria
MER21C_BT,Eutheria
MER21I,Homo_sapiens
MER25,Eutheria
MER28,Homo_sapiens
MER2B,Eutheria
MER3,Eutheria
MER30,Vertebrata
MER30B,Homo_sapiens
MER31,Homo_sapiens
MER31A,Eutheria
MER31B,Homo_sapiens
MER31_I,Homo_sapiens
MER33,Homo_sapiens
MER34,Homo_sapiens
MER34-int,Eutheria
MER34A,Eutheria
MER34A1,Eutheria
MER34B,Homo_sapiens
MER34B_I,Homo_sapiens
MER34C,Homo_sapiens
MER34C2,Homo_sapiens
MER34D,Primates
MER39,Homo_sapiens
MER39B,Homo_sapiens
MER41A,Homo_sapiens
MER41B,Homo_sapiens
MER41C,Homo_sapiens
MER41D,Homo_sapiens
MER41E,Primates
MER41F,Homo_sapiens
MER41G,Homo_sapiens
MER41I,Homo_sapiens
MER44A,Homo_sapiens
MER44B,Homo_sapiens
MER44C,Homo_sapiens
MER44D,Eutheria
MER45,Homo_sapiens
MER45B,Homo_sapiens
MER45C,Homo_sapiens
MER45R,Homo_sapiens
MER46C,Eutheria
MER47B,Eutheria
MER47C,Eutheria
MER48,Homo_sapiens
MER49,Homo_sapiens
MER4A,Homo_sapiens
MER4A1,Homo_sapiens
MER4A1_LTR,Primates
MER4B,Homo_sapiens
MER4BI,Homo_sapiens
MER4C,Homo_sapiens
MER4CL34,Homo_sapiens
MER4D,Homo_sapiens
MER4D1,Homo_sapiens
MER4D_LTR,Primates
MER4E,Homo_sapiens
MER4E1,Homo_sapiens
MER4I,Homo_sapiens
MER50,Homo_sapiens
MER50B,Homo_sapiens
MER50C,Primates
MER50I,Homo_sapiens
MER51A,Homo_sapiens
MER51B,Homo_sapiens
MER51C,Homo_sapiens
MER51D,Homo_sapiens
MER51E,Homo_sapiens
MER51I,Homo_sapiens
MER52A,Homo_sapiens
MER52AI,Homo_sapiens
MER52B,Homo_sapiens
MER52C,Homo_sapiens
MER52D,Homo_sapiens
MER53,Homo_sapiens
MER54,Homo_sapiens
MER54A,Homo_sapiens
MER54B,Homo_sapiens
MER57A1,Homo_sapiens
MER57A_I,Homo_sapiens
MER57B1,Eutheria
MER57B2,Homo_sapiens
MER57C1,Eutheria
MER57C2,Eutheria
MER57D,Eutheria
MER57E1,Eutheria
MER57E2,Eutheria
MER57E3,Eutheria
MER57F,Homo_sapiens
MER57I,Homo_sapiens
MER58A,Eutheria
MER58B,Eutheria
MER58C,Eutheria
MER58D,Eutheria
MER5A,Eutheria
MER5A1,Eutheria
MER5B,Homo_sapiens
MER5C,Eutheria
MER5C1,Eutheria
MER6,Eutheria
MER61A,Homo_sapiens
MER61B,Homo_sapiens
MER61C,Homo_sapiens
MER61D,Homo_sapiens
MER61E,Homo_sapiens
MER61F,Homo_sapiens
MER61I,Homo_sapiens
MER63A,Homo_sapiens
MER63B,Homo_sapiens
MER63C,Eutheria
MER63D,Homo_sapiens
MER65A,Eutheria
MER65B,Homo_sapiens
MER65C,Homo_sapiens
MER65D,Homo_sapiens
MER65I,Eutheria
MER66A,Homo_sapiens
MER66B,Homo_sapiens
MER66C,Homo_sapiens
MER66D,Homo_sapiens
MER66_I,Homo_sapiens
MER67A,Homo_sapiens
MER67B,Homo_sapiens
