,group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
404,4,DCUN1D1,117.28771,4.6266,0.0,0.0,0.9499564838990426,0.46919520266622855
405,4,OAZ3,113.21571,4.380323,0.0,0.0,0.9337104728749638,0.41077757176050883
406,4,TSSK6,109.05382,4.804523,0.0,0.0,0.8891789962286046,0.2967822188842209
407,4,SPTY2D1OS,108.85019,4.0479684,0.0,0.0,0.9360313315926893,0.4942849766470298
408,4,UBL4B,106.63705,3.8582876,0.0,0.0,0.8978822164200754,0.39243551529091464
409,4,C16orf82,105.7223,4.209925,0.0,0.0,0.8777197563098347,0.3268594362428709
410,4,SPATA42,104.70966,4.222019,0.0,0.0,0.8716275021758051,0.30751989109770694
411,4,SPATA3,104.64487,4.441563,0.0,0.0,0.8552364374818683,0.2855751402351726
412,4,DNAJC4,104.18456,4.154188,0.0,0.0,0.8607484769364665,0.3554110826859436
413,4,AC011448.1,102.502815,3.4377823,0.0,0.0,0.8910646939367566,0.5635458962142371
414,4,AL589765.4,101.921814,4.2997913,0.0,0.0,0.8434870902233826,0.2667402070082381
415,4,SMKR1,101.275116,3.7912204,0.0,0.0,0.8717725558456629,0.3603750557420142
416,4,NDUFA13,101.16909,3.4496017,0.0,0.0,0.8822164200754279,0.5474335203135635
417,4,CCDC91,99.49978,3.7983003,0.0,0.0,0.8608935306063243,0.40390076747952214
418,4,RNF138,91.53614,3.6470435,0.0,0.0,0.7932985204525674,0.34427441500222966
419,4,AC010325.1,87.51686,4.060038,0.0,0.0,0.7592109080359734,0.27572934024925483
420,4,ACAP1,84.414246,3.7976913,0.0,0.0,0.7351319988395706,0.291970802919708
421,4,BOD1L2,75.86582,3.197473,0.0,0.0,0.7225123295619379,0.3221771070481376
422,4,PHOSPHO1,74.07271,4.2506804,0.0,0.0,0.6042935886277923,0.11969864106836904
423,4,CABS1,72.536644,3.3918,0.0,0.0,0.6602843051929214,0.21583307907151408
424,4,ODF3L2,69.971085,4.059879,0.0,0.0,0.5802146794313896,0.12271457741685639
425,4,METAP1,69.544,3.6678057,0.0,0.0,0.602697998259356,0.17670805266740208
426,4,C3orf22,69.42643,3.7093413,0.0,0.0,0.5963156367856107,0.15965686389560402
427,4,TSPAN6,69.24252,3.8238268,0.0,0.0,0.6025529445894982,0.18423029079728684
428,4,TMEM31,68.69689,3.755442,0.0,0.0,0.5989266028430519,0.15996197807871945
429,4,FUNDC2P2,67.63856,3.6371794,0.0,0.0,0.5822454308093995,0.14542211373717934
430,4,AC104964.2,63.64938,3.9363084,0.0,0.0,0.5301711633304322,0.10801042082286948
431,4,AC104964.1,61.917255,3.9602525,0.0,0.0,0.5142152596460691,0.10099279461121412
432,4,GAREM1,59.183994,3.430082,0.0,0.0,0.5255294458949812,0.15835426103691883
433,4,GABRG3-AS1,58.493523,3.0320177,0.0,0.0,0.5425007252683492,0.17743563264252352
434,4,AC133555.3,57.827232,3.1418018,0.0,0.0,0.5297360023208587,0.15412960311685872
435,4,MFAP3L,57.481647,2.9682503,0.0,0.0,0.5403249202204816,0.18448846433684607
436,4,SH3GL3,56.63554,3.2353914,0.0,0.0,0.5191470844212358,0.16701480977304198
437,4,TSPAN1,55.460167,3.628303,0.0,0.0,0.47389033942558745,0.10475978125660103
438,4,PAQR7,53.199013,3.0447128,0.0,0.0,0.49985494633014216,0.16814138521839134
439,4,RNF38,52.2879,2.7328308,0.0,0.0,0.5234986945169713,0.22405942685474217
440,4,SH3RF2,52.05361,2.2051647,0.0,0.0,0.6227154046997389,0.32971108033891144
441,4,LRRD1,50.20408,3.4607959,0.0,0.0,0.436321438932405,0.10015959818809116
442,4,AC097375.2,49.749733,3.4476242,0.0,0.0,0.4374818682912678,0.11028704203534631
443,4,AL033528.2,49.679234,3.6514754,0.0,0.0,0.4221061792863359,0.08333137747318516
444,4,AP001782.1,48.134094,3.0232604,0.0,0.0,0.44966637655932695,0.14357969347759758
445,4,SLFNL1,46.241497,3.2993639,0.0,0.0,0.4151436031331593,0.1114018823198066
446,4,IGSF11-AS1,46.120502,2.8016994,0.0,0.0,0.4444444444444444,0.1534489637852935
447,4,AZIN2,46.09381,2.9374516,0.0,0.0,0.4428488540760081,0.15966859905649305
448,4,SLFNL1-AS1,45.51228,3.2313137,0.0,0.0,0.4155787641427328,0.1209308329617199
449,4,DBIL5P,45.18143,3.1113555,0.0,0.0,0.42152596460690456,0.1327716102987772
450,4,SLC38A7,45.049652,3.1370037,0.0,0.0,0.4109370467072817,0.11410096932428944
451,4,C12orf54,43.69325,2.532736,0.0,0.0,0.44778067885117495,0.1736451756753585
452,4,MYO3B-AS1,43.34501,3.205579,0.0,0.0,0.3957064113722077,0.11216466777759523
453,4,AC009065.6,43.330364,3.227218,0.0,0.0,0.383086742094575,0.08908160630882249
454,4,C16orf78,42.705845,3.0566304,0.0,0.0,0.38874383521903105,0.100758091393433
455,4,AL592146.1,42.17456,2.8716414,0.0,0.0,0.40716565129097765,0.1386861313868613
